feature_selection_score,random_selection_score,number_of_features,data_set,model_type
0.7931769722814499,0.8108108108108109,34,test,classification
0.7958656330749354,0.8201438848920862,35,train,classification
0.802405498281787,0.8247978436657682,35,val,classification
0.8271604938271604,0.8239130434782609,35,test,classification
0.8035714285714285,0.8161434977578476,36,train,classification
0.7931654676258992,0.8184281842818428,36,val,classification
0.8059384941675505,0.8235294117647058,36,test,classification
0.7896613190730838,0.8161434977578476,37,train,classification
0.7924865831842575,0.8184281842818428,37,val,classification
0.7881981032665965,0.8235294117647058,37,test,classification
0.7996406109613656,0.8218442256042973,38,train,classification
0.8003581020590869,0.8156934306569342,38,val,classification
0.8216560509554142,0.8191721132897604,38,test,classification
0.7971145175834085,0.8225806451612901,39,train,classification
0.7855203619909503,0.8164383561643835,39,val,classification
0.7945205479452054,0.8182807399347117,39,test,classification
0.8007246376811594,0.8222621184919211,40,train,classification
0.7981735159817352,0.8192552225249772,40,val,classification
0.825668449197861,0.8174863387978142,40,test,classification
0.7967625899280575,0.8288288288288289,41,train,classification
0.7992799279927992,0.8177697189483226,41,val,classification
0.816542948038176,0.8231441048034934,41,test,classification
0.8128342245989304,0.8267148014440433,42,train,classification
0.7989228007181328,0.8156221616712079,42,val,classification
0.8231511254019293,0.8189845474613686,42,test,classification
0.7989179440937783,0.823848238482385,43,train,classification
0.7844905320108205,0.8203266787658802,43,val,classification
0.8184747583243823,0.8197802197802198,43,test,classification
0.7985414767547857,0.8194945848375452,44,train,classification
0.7924528301886791,0.8199095022624434,44,val,classification
0.8141025641025642,0.822882288228823,44,test,classification
0.7981900452488689,0.8206521739130435,45,train,classification
0.7845303867403315,0.8174386920980926,45,val,classification
0.8065217391304347,0.8079470198675497,45,test,classification
0.802880288028803,0.8212996389891697,46,train,classification
0.7768888888888889,0.8156221616712079,46,val,classification
0.8132780082987552,0.8195652173913044,46,test,classification
0.8051001821493625,0.8234234234234233,47,train,classification
0.7903225806451611,0.8209764918625677,47,val,classification
0.8008611410118407,0.8178844056706651,47,test,classification
0.8141432456935629,0.8231046931407942,48,train,classification
0.788858939802336,0.8227848101265822,48,val,classification
0.8093716719914802,0.8174863387978142,48,test,classification
0.8087035358114234,0.8232094288304624,49,train,classification
0.782687105500451,0.8212996389891697,49,val,classification
0.8029661016949152,0.8178844056706651,49,test,classification
0.8185117967332123,0.8006872852233676,50,train,classification
0.7865576748410537,0.8407534246575342,50,val,classification
0.8120300751879699,0.8357289527720739,50,test,classification
0.8131868131868133,0.8037865748709122,51,train,classification
0.7851985559566788,0.8400342172797263,51,val,classification
0.7982832618025751,0.834871794871795,51,test,classification
0.8134057971014492,0.8044788975021533,52,train,classification
0.7804878048780488,0.8410256410256409,52,val,classification
0.8113804004214962,0.8340163934426229,52,test,classification
0.8094804010938925,0.8082545141874463,53,train,classification
0.776978417266187,0.8397600685518424,53,val,classification
0.8021505376344086,0.8362512873326468,53,test,classification
0.8334833483348335,0.8037865748709122,54,train,classification
0.7974910394265233,0.8387650085763294,54,val,classification
0.8188638799571276,0.8386433710174717,54,test,classification
0.8214936247723134,0.8072289156626504,55,train,classification
0.7879890809827115,0.8422847399829497,55,val,classification
0.815845824411135,0.8381147540983607,55,test,classification
0.8321428571428571,0.8085836909871245,56,train,classification
