score,number_of_features,data_set,model_type
0.8275132275132276,46,test,classification
0.8219424460431656,47,train,classification
0.808586762075134,47,val,classification
0.8250265111346766,47,test,classification
0.8319856244384547,48,train,classification
0.8035555555555555,48,val,classification
0.8292682926829269,48,test,classification
0.8276481149012567,49,train,classification
0.8017937219730942,49,val,classification
0.823404255319149,49,test,classification
0.8294434470377019,50,train,classification
0.8010801080108011,50,val,classification
0.8246546227417642,50,test,classification
0.8283917340521115,51,train,classification
0.8010801080108011,51,val,classification
0.823404255319149,51,test,classification
0.8330341113105925,52,train,classification
0.797843665768194,52,val,classification
0.8250265111346766,52,test,classification
0.8352835283528353,53,train,classification
0.8028673835125448,53,val,classification
0.820021299254526,53,test,classification
0.8384201077199281,54,train,classification
0.8003597122302158,54,val,classification
0.8183760683760684,54,test,classification
0.8376681614349776,55,train,classification
0.7996406109613656,55,val,classification
0.8230277185501067,55,test,classification
0.8381294964028777,56,train,classification
0.7971403038427167,56,val,classification
0.8230277185501067,56,test,classification
0.8396396396396395,57,train,classification
0.8,57,val,classification
0.815368196371398,57,test,classification
0.8398190045248869,58,train,classification
0.8068283917340522,58,val,classification
0.8140276301806589,58,test,classification
0.8413417951042611,59,train,classification
0.8078994614003592,59,val,classification
0.8136315228966986,59,test,classification
0.8406840684068406,60,train,classification
0.7996406109613656,60,val,classification
0.8271474019088018,60,test,classification
0.8422001803426511,61,train,classification
0.8,61,val,classification
0.8232804232804232,61,test,classification
0.8432432432432433,62,train,classification
0.800718132854578,62,val,classification
0.8236536430834213,62,test,classification
0.8514492753623188,63,train,classification
0.7982062780269058,63,val,classification
0.8227848101265823,63,test,classification
0.8574007220216606,64,train,classification
0.7950089126559714,64,val,classification
0.8307045215562565,64,test,classification
0.8581752484191508,65,train,classification
0.793594306049822,65,val,classification
0.8286014721345952,65,test,classification
0.8524886877828054,66,train,classification
0.7967914438502673,66,val,classification
0.8296296296296295,66,test,classification
0.8535262206148282,67,train,classification
0.8095238095238096,67,val,classification
0.8261327713382508,67,test,classification
0.8553345388788427,68,train,classification
0.8102383053839365,68,val,classification
0.825765575501584,68,test,classification
0.8481012658227849,69,train,classification
0.8021295474711624,69,val,classification
0.826271186440678,69,test,classification
0.8491418247515808,70,train,classification
0.8042515500442871,70,val,classification
0.826271186440678,70,test,classification
0.8514492753623188,71,train,classification
0.8110026619343389,71,val,classification
0.832800851970181,71,test,classification
0.8514492753623188,72,train,classification
0.806049822064057,72,val,classification
0.827807486631016,72,test,classification
0.8548094373865699,73,train,classification
0.8099910793933989,73,val,classification
0.8294243070362473,73,test,classification
0.8599819331526649,74,train,classification
0.8125000000000001,74,val,classification
0.8251599147121536,74,test,classification
0.8589511754068717,75,train,classification
0.8135593220338982,75,val,classification
0.8208955223880596,75,test,classification
0.8602344454463481,76,train,classification
0.8103294746215494,76,val,classification
0.8231511254019293,76,test,classification
0.8592057761732851,77,train,classification
0.8128342245989305,77,val,classification
0.8231511254019293,77,test,classification
0.8586858685868588,78,train,classification
0.8132854578096947,78,val,classification
0.831896551724138,78,test,classification
0.8537906137184116,79,train,classification
0.8082808280828083,79,val,classification
0.8261802575107297,79,test,classification
0.8651079136690648,80,train,classification
0.8214936247723132,80,val,classification
0.8228941684665227,80,test,classification
0.863063063063063,81,train,classification
0.8225659690627842,81,val,classification
0.8228941684665227,81,test,classification
0.8633093525179856,82,train,classification
0.821071752951862,82,val,classification
0.8241639697950378,82,test,classification
0.8640864086408641,83,train,classification
0.8218181818181818,83,val,classification
0.8228941684665227,83,test,classification
0.8712871287128713,84,train,classification
0.8213961922030826,84,val,classification
0.8216216216216217,84,test,classification
0.8697214734950584,85,train,classification
0.8199095022624434,85,val,classification
0.8236559139784946,85,test,classification
0.8671454219030521,86,train,classification
